dialogue_id,turn_index,phase,speaker,is_moderator,text,selected_reason,last_addressed,pending_question_target,repetition_pressure,tokens_in,tokens_out,role,is_primary,assertiveness,friendliness,talkativeness,agreeableness,patience,contrarian,response_length
20260510_124215_486541,4,negotiation,Avery,False,"Restaurant venues can be noisy and lacking in personal touch, which might make the celebration feel impersonal for Tim.",weighted,,,0.111,658,23,party_planner,False,4,1,3,4,3,5,3
20260510_124215_486541,4,negotiation,Drew,False,Home venue is best.,weighted,,,0.111,598,6,birthday_person,True,4,2,1,2,3,3,1
20260510_124215_486541,5,negotiation,Jordan,False,Park is more flexible.,weighted,,,0.056,610,6,event_coordinator,False,3,1,5,5,5,1,1
20260510_124215_486541,6,negotiation,Avery,False,"Option D might get too routine with simple cake and gifts, lacking a unique element to make the day truly memorable for Tim.",weighted,,,0.048,652,26,party_planner,False,4,1,3,4,3,5,3
20260510_124215_486541,7,negotiation,Jordan,False,Flexibility is crucial.,weighted,,,0.048,603,6,event_coordinator,False,3,1,5,5,5,1,1
20260510_124215_486541,7,negotiation,Drew,False,Simple is better than messy chaos.,weighted,,,0.048,575,8,birthday_person,True,4,2,1,2,3,3,1
20260510_124215_486541,8,negotiation,Avery,False,"Close friends and family might still expect something more exciting than a standard restaurant celebration, which could lead to disappointment if the party doesn't exceed their modest expectations.",weighted,,,0.0,632,32,party_planner,False,4,1,3,4,3,5,3
20260510_124215_486541,9,negotiation,Jordan,False,Park offers more space.,weighted,,,0.029,588,6,event_coordinator,False,3,1,5,5,5,1,1
20260510_124215_486541,10,negotiation,Avery,False,"Option D's reliance on a restaurant venue may lead to limited control over the ambiance and timeline, potentially disrupting the celebration's flow.",weighted,,,0.064,643,27,party_planner,False,4,1,3,4,3,5,3
20260510_124215_486541,11,negotiation,Drew,False,Home is more controlled.,weighted,,,0.064,583,6,birthday_person,True,4,2,1,2,3,3,1
20260510_124215_486541,11,negotiation,Jordan,False,Flexibility matters more than control.,weighted,,,0.064,598,8,event_coordinator,False,3,1,5,5,5,1,1
20260510_124215_486541,11,negotiation,Avery,False,Limited personalization in a restaurant setting may make the celebration feel generic for Tim.,weighted,,,0.064,654,17,party_planner,False,4,1,3,4,3,5,3
20260510_124215_486541,11,narrowing,Moderator,True,Let's narrow this down — which option does each of you prefer? A backup is fine if you're genuinely unsure.,moderator,,,0.112,0,0,,,,,,,,,
20260510_124215_486541,12,narrowing,Drew,False,I prefer Option A.,weighted,,,0.112,734,6,birthday_person,True,4,2,1,2,3,3,1
20260510_124215_486541,12,narrowing,Jordan,False,Prefer Option B.,weighted,,,0.112,749,6,event_coordinator,False,3,1,5,5,5,1,1
20260510_124215_486541,12,narrowing,Avery,False,"Option A is more appealing since a home venue allows for tailored decorations and a curated guest list, potentially creating a unique atmosphere that Option D's restaurant setting can't match.",weighted,,,0.112,747,35,party_planner,False,4,1,3,4,3,5,3
20260510_124215_486541,12,confirmation,Moderator,True,It sounds like Option A is the preferred choice. Can everyone confirm briefly?,moderator,,,0.262,0,0,,,,,,,,,
20260510_124215_486541,12,confirmation,Jordan,False,Yes.,confirmation,,,0.262,680,3,event_coordinator,False,3,1,5,5,5,1,1
20260510_124215_486541,12,confirmation,Drew,False,Yes.,confirmation,,,0.262,659,3,birthday_person,True,4,2,1,2,3,3,1
20260510_124215_486541,12,closure,Drew,False,Done discussing.,closure,,,0.262,574,4,birthday_person,True,4,2,1,2,3,3,1
20260510_124215_486541,12,closure,Avery,False,A small guest list at home may be the best way to ensure Tim's laid-back nature is respected and the celebration doesn't feel overwhelming.,closure,,,0.262,643,29,party_planner,False,4,1,3,4,3,5,3
20260510_124215_486541,12,closure,Moderator,True,Agreed — Option A is the final choice. Discussion concluded.,moderator,,,0.262,0,0,,,,,,,,,
